"Address not valid","Adresse nicht valide"
"address type changed","Anschriftentyp geändert"
"ambiguous","mehrdeutig"
"Analysis on Order placement","Analyse bei Bestellungsabschluß"
"Analysis via Cron","Analyse via Cron"
"API Password","API Passwort"
"API User","API Benutzer"
"Authentication error.","Authentifizierungsfehler."
"Automatic Address Analysis","Automatische Adress-Analyse"
"Automatic validation","Automatische Überprüfung"
"Automatically Cancel","Automatisch stornieren"
"Automatically cancel undeliverable orders.","Unzustellbare Bestellungen automatisch stornieren."
"Automatically Put on Hold","Automatisch zurückstellen"
"Automatically put on hold orders that are undeliverable, possibly deliverable, or that failed analysis.","Bestellungen automatisch zurückstellen, die unzustellbar oder eventuell zustellbar sind oder deren Analyse fehlgeschlagen ist."
"Automatically update order shipping addresses with ADDRESSFACTORY suggestions.","Versandadressen automatisch mit ADDRESSFACTORY-Vorschlägen aktualisieren."
"Automatically Update Shipping Address","Versandadresse automatisch aktualisieren"
"Automatically validate manually edited addresses.","Überprüfen Sie manuell bearbeitete Adressen automatisch."
"Beware: Log level <em>Debug</em> will result in large log files.","Achtung: <em>Debug</em>-Protokollierung erzeugt große Log-Dateien."
"Bulk receiver name","Großempfängername"
"Bulk recipient address","Großempfänder-Adresse"
"City addition","Ortszusatz"
"City","Ort"
"Configuration Name","Konfigurationsname"
"corrected marginally","geringfügig korrigiert"
"corrected significantly","signifikant korrigiert"
"Could not perform ADDRESSFACTORY DIRECT analysis for Order","ADDRESSFACTORY DIREKT-Analyse konnte nicht durchgeführt werden"
"Could not save analysis result.","Analyse-Ergebnis konnte nicht gespeichert werden."
"Country","Land"
"Deutsche Post Direkt ADDRESSFACTORY","Deutsche Post Direkt ADDRESSFACTORY"
"different","abweichend"
"Enable Logging","Logging aktivieren"
"Enabled","Aktiviert"
"Enter the name of the desired synchronization configuration that you have received from Deutsche Post Direkt.","Tragen Sie hier den Name der gewünschten Abgleich-Konfiguration ein, den sie von Deutsche Post Direkt erhalten haben."
"Errors","Fehler"
"Everything","Alles"
"House address","Hausanschrift"
"Household","Haushalt"
"House number","Hausnummer"
"If you want to assign the API requests of this module to a specific client, enter the username of the client here.","Falls Sie die API-Anfragen dieses Moduls einem bestimmten Mandanten zuordnen möchten, tragen Sie hier den Benutzer des Mandanten ein."
"incorporated","eingemeindet"
"incorporated or renamed","eingemeindet oder umbenannt"
"is company address","ist Firmenadresse"
"is foreign address","ist Auslandsadresse"
"Log Level",Logging-Stufe
"Mandate Name","Mandanten-Name"
"matched in fake-name list","getroffen in Fake-Namensliste"
"matched in Robinson list","getroffen in Robinsonliste"
"moved","umgezogen"
"No Automatic Analysis","Keine automatische Analyse"
"Non-deliverable Order put on hold","Nicht-zustellbare Bestellung zurückgestellt"
"Non-deliverable Order(s) %s were put on hold.","Nicht-zustellbare Bestellung(en) %s zurückgestellt."
"not filled","nicht befüllt"
"Not found in reference","Nicht in Referenz gefunden"
"not found","nicht gefunden"
"Only use the option ""Analysis on order placement"" if problems occur in connection with ""Analysis via Cron"".","Nutzen Sie die Option ""Analyse bei Bestellungsabschluss"" nur, falls im Zusammenhang mit ""Analyse via Cron"" Probleme auftreten."
"Order address updated with ADDRESSFACTORY DIRECT suggestion","Bestelladdresse mit ADDRESSFACTORY DIRECT-Vorschlag aktualisiert"
"Order(s) %s could not be analysed with ADDRESSFACTORY DIRECT.","Bestellung(en) %s konnten nicht mit ADDRESSFACTORY DIRECT analysiert werden."
"Person","Person"
"Postal code","PLZ"
"receiver deceased","Empfänger verstorben"
"reportedly deceased","Empfänger soll verstorben sein"
"Service exception: %1","Schnittstellen-Fehler: %1"
"Street","Straße"
"To get started:","Einfach loslegen:"
"Undeliverable Order canceled","Unzustellbare Bestellung storniert"
"Undeliverable Order(s) %s were canceled.","Unzustellbare Bestellung(en) %s storniert."
"undeliverable","unzustellbar"
"Version:","Version:"
"You must also have Magento general logging enabled. Attention: Logs can contain sensitive customer data! Logging should only be activated for troubleshooting purposes. The logs should be deleted regularly.","Das allgemeine Magento-Logging muss ebenfalls aktiviert sein. Achtung: Logs können sensible Kundendaten enthalten! Die Protokollierung sollte nur zur Fehlerbehebung aktiviert werden. Anfallende Logs sollten regelmäßig gelöscht werden."
